,user.index,sugg.decision.utime,sugg.device.since,recognized.activity,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins60,jbsteps60,Time of Day
199,1,2015-08-31 10:31:59,0.0002777777777777,STILL,home,Fog,16.6,0.0,0.0,0.0,20.0,757.0,10:31:59
200,1,2015-08-31 16:31:55,0.832222222222222,STILL,work,Partly Cloudy,25.2,2.0,0.0,0.0,10.0,499.0,16:31:55
202,1,2015-08-31 21:31:05,0.734722222222222,STILL,"store,health,point_of_interest,establishment",Clear,29.2,2.0,0.0,0.0,12.0,561.0,21:31:05
204,1,2015-09-01 10:32:06,0.0213888888888889,STILL,home,Partly Cloudy,14.8,0.0,0.0,0.0,3.0,103.0,10:32:06
207,1,2015-09-01 21:32:31,0.958611111111111,STILL,home,Partly Cloudy,31.8,1.7,0.0,0.0,8.0,475.0,21:32:31
209,1,2015-09-02 10:33:04,0.454444444444444,STILL,home,Clear,19.4,0.0,0.0,0.0,0.0,0.0,10:33:04
210,1,2015-09-02 16:32:11,0.530555555555556,STILL,work,Partly Cloudy,27.7,2.0,15.0,0.0,0.0,0.0,16:32:11
216,1,2015-09-03 18:31:13,0.0325,STILL,work,Clear,28.3,0.0,15.0,0.0,16.0,633.0,18:31:13
217,1,2015-09-03 21:31:49,0.0427777777777778,STILL,home,Partly Cloudy,26.2,3.6,60.0,0.0,19.0,827.0,21:31:49
220,1,2015-09-04 16:31:31,0.307777777777778,STILL,work,,0.0,0.0,0.0,0.0,16.0,1080.0,16:31:31
223,1,2015-09-04 23:31:12,0.420750000013245,STILL,"university,point_of_interest,establishment",Partly Cloudy,24.6,0.0,15.0,0.0,19.0,848.0,23:31:12
224,1,2015-09-05 10:35:59,7.15194444444444,STILL,home,Partly Cloudy,17.8,0.0,0.0,0.0,0.0,0.0,10:35:59
225,1,2015-09-05 16:31:07,0.110277777777778,STILL,home,Rain,21.6,4.2,75.0,0.0,8.0,295.0,16:31:07
227,1,2015-09-05 21:31:05,1.38916666666667,IN_VEHICLE,"restaurant,food,point_of_interest,establishment",Clear,25.9,0.0,15.0,0.0,7.0,392.0,21:31:05
229,1,2015-09-06 10:34:02,4.14583333333333,STILL,"bar,restaurant,food,point_of_interest,establishment",Clear,20.1,0.0,0.0,0.0,0.0,0.0,10:34:02
230,1,2015-09-06 16:34:44,0.821666666666667,STILL,home,Clear,30.2,2.7,0.0,0.0,5.0,174.0,16:34:44
233,1,2015-09-06 23:31:34,1.31916666666667,STILL,home,Clear,30.8,0.0,0.0,0.0,51.0,4056.0,23:31:34
237,1,2015-09-07 21:31:11,1.85916666666667,STILL,"hardware_store,store,point_of_interest,establishment",Clear,30.6,2.2,15.0,0.0,19.0,589.0,21:31:11
239,1,2015-09-08 10:31:51,0.0141666666666667,IN_VEHICLE,"restaurant,food,point_of_interest,establishment",Partly Cloudy,21.2,0.0,0.0,0.0,32.0,1557.0,10:31:51
240,1,2015-09-08 16:34:34,1.97333333333333,STILL,work,Partly Cloudy,27.8,5.0,30.0,0.0,13.0,1020.0,16:34:34
241,1,2015-09-08 18:31:30,0.0208333333333333,STILL,work,Clear,29.7,8.0,52.0,0.0,6.0,263.0,18:31:30
248,1,2015-09-09 23:32:10,0.216388888888889,STILL,home,Partly Cloudy,21.8,3.7,0.0,0.0,4.0,149.0,23:32:10
252,1,2015-09-10 21:31:06,0.491111111111111,IN_VEHICLE,"park,point_of_interest,establishment",Clear,26.0,2.2,0.0,0.0,14.0,603.0,21:31:06
269,1,2015-09-14 10:31:05,0.0911111111111111,STILL,home,Clear,5.8,0.0,0.0,0.0,3.0,128.0,10:31:05
280,2,2015-07-24 22:01:42,,STILL,"university,point_of_interest,establishment",Clear,29.4,2.0,0.0,0.0,21.0,1633.0,22:01:42
282,2,2015-07-25 12:31:44,,STILL,"bakery,store,food,point_of_interest,establishment",Clear,22.3,0.0,0.0,0.0,14.0,419.0,12:31:44
285,2,2015-07-25 22:01:12,,IN_VEHICLE,"store,point_of_interest,establishment",Overcast,29.7,0.0,30.0,0.0,15.0,935.0,22:01:12
286,2,2015-07-26 00:31:31,,STILL,"cafe,food,point_of_interest,establishment",Rain,23.1,0.0,53.0,0.0,3.0,125.0,00:31:31
290,2,2015-07-26 22:01:34,,IN_VEHICLE,"store,point_of_interest,establishment",Partly Cloudy,29.8,1.7,0.0,0.0,30.0,1497.0,22:01:34
291,2,2015-07-27 00:32:19,,STILL,"university,point_of_interest,establishment",Partly Cloudy,26.3,0.0,0.0,0.0,8.0,329.0,00:32:19
293,2,2015-07-27 17:02:36,,ON_FOOT,"university,point_of_interest,establishment",Clear,29.0,1.6,0.0,0.0,1.0,55.0,17:02:36
295,2,2015-07-27 22:01:36,,STILL,"university,point_of_interest,establishment",Clear,29.7,0.0,0.0,0.0,0.0,0.0,22:01:36
298,2,2015-07-28 17:01:17,,STILL,"university,point_of_interest,establishment",Clear,29.6,5.0,0.0,0.0,1.0,21.0,17:01:17
300,2,2015-07-28 22:01:20,,STILL,"university,point_of_interest,establishment",Partly Cloudy,30.7,4.0,0.0,0.0,13.0,1258.0,22:01:20
302,2,2015-07-29 12:30:55,,IN_VEHICLE,"university,point_of_interest,establishment",Clear,21.9,0.0,15.0,0.0,0.0,0.0,12:30:55
305,2,2015-07-29 22:01:37,,STILL,"university,point_of_interest,establishment",Mostly Cloudy,27.0,0.0,15.0,0.0,26.0,1962.0,22:01:37
307,2,2015-07-30 12:37:59,,STILL,"university,point_of_interest,establishment",Clear,20.7,2.0,0.0,0.0,0.0,0.0,12:37:59
308,2,2015-07-30 17:02:43,,STILL,"university,point_of_interest,establishment",Clear,26.8,2.2,0.0,0.0,2.0,43.0,17:02:43
