,user.index,sugg.decision.utime,sugg.response.utime,sugg.device.since,interaction.count,send.active,send.sedentary,recognized.activity,tag.active,tag.indoor,tag.outdoor,tag.outdoor_snow,front.end.application,response,dec.location.category,dec.weather.condition,dec.temperature,dec.windspeed,dec.precipitation.chance,dec.snow,jbmins30,jbsteps30,jbmins60,jbsteps60,jbmins120,jbsteps120,Time of Day
0,1,2015-07-22 16:31:53,2015-07-22 16:56:35,1.25055555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,"restaurant,meal_takeaway,food,point_of_interest,establishment",Partly Cloudy,23.3,3.0,0.0,0.0,17.0,1311.0,19.0,1413.0,33.0,2035.0,16:31:53
1,1,2015-07-22 18:32:10,2015-07-22 18:32:38,0.101666666666667,0.0,True,False,STILL,True,False,True,False,OFF,good,work,Partly Cloudy,24.4,1.6,0.0,0.0,5.0,414.0,5.0,414.0,16.0,1085.0,18:32:10
3,1,2015-07-22 23:31:50,Unknown,0.103055555555556,-1.0,False,True,STILL,False,True,True,True,OFF,No Response,home,Partly Cloudy,25.7,0.0,0.0,0.0,7.0,369.0,14.0,715.0,35.0,1480.0,23:31:50
5,1,2015-07-23 16:33:51,2015-07-23 16:34:29,0.488888888888889,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,26.6,0.0,0.0,0.0,16.0,893.0,27.0,1318.0,50.0,2283.0,16:33:51
6,1,2015-07-23 18:31:07,2015-07-23 18:32:45,0.428888888888889,0.0,True,False,STILL,True,False,True,False,OFF,good,home,Partly Cloudy,27.5,0.0,0.0,0.0,19.0,589.0,24.0,872.0,76.0,5757.0,18:31:07
7,1,2015-07-23 21:31:16,2015-07-23 21:42:32,0.538888888888889,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Partly Cloudy,32.7,4.7,0.0,0.0,14.0,899.0,23.0,1297.0,26.0,1365.0,21:31:16
10,1,2015-07-24 16:31:31,2015-07-24 16:33:50,0.639166666666667,1.0,False,True,STILL,False,True,True,False,OFF,good,home,Clear,28.9,3.6,0.0,0.0,9.0,279.0,26.0,1119.0,46.0,1814.0,16:31:31
11,1,2015-07-24 18:31:58,2015-07-24 18:32:21,0.606666666666667,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Clear,30.2,2.7,0.0,0.0,13.0,415.0,22.0,707.0,67.0,4196.0,18:31:58
12,1,2015-07-24 21:31:41,2015-07-24 22:01:43,0.669166666666667,1.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Clear,30.7,6.0,0.0,0.0,15.0,1310.0,18.0,1404.0,47.0,3510.0,21:31:41
14,1,2015-07-25 09:35:29,2015-07-25 09:52:42,4.71888888888889,2.0,True,False,STILL,True,True,True,False,OFF,bad,home,Clear,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,09:35:29
15,1,2015-07-25 16:31:00,2015-07-25 16:47:18,0.125833333333333,3.0,True,False,STILL,True,False,True,False,OFF,good,"gas_station,convenience_store,food,store,point_of_interest,establishment",Partly Cloudy,28.1,3.7,15.0,0.0,3.0,82.0,12.0,357.0,31.0,1743.0,16:31:00
16,1,2015-07-25 18:31:52,2015-07-25 19:01:57,0.250833333333333,1.0,True,False,UNKNOWN,True,True,True,True,OFF,no_response,"jewelry_store,store,point_of_interest,establishment",Partly Cloudy,30.1,3.2,35.0,0.0,16.0,585.0,32.0,1820.0,53.0,2733.0,18:31:52
19,1,2015-07-26 09:32:56,2015-07-26 09:48:17,10.8319444444444,1.0,True,False,STILL,True,True,True,False,OFF,bad,home,Partly Cloudy,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,09:32:56
20,1,2015-07-26 16:31:30,2015-07-26 16:47:23,0.960277777777778,0.0,True,False,STILL,True,True,False,False,OFF,bad,home,Clear,33.0,2.2,0.0,0.0,17.0,1147.0,40.0,2308.0,80.0,4631.0,16:31:30
21,1,2015-07-26 18:32:18,2015-07-26 19:02:33,1.44777777777778,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,29.5,1.3,0.0,0.0,21.0,1188.0,50.0,3245.0,73.0,4073.0,18:32:18
22,1,2015-07-26 21:33:14,2015-07-26 21:35:00,4.46333333333333,0.0,True,False,STILL,True,False,True,False,OFF,good,home,Partly Cloudy,29.6,0.0,0.0,0.0,6.0,204.0,15.0,497.0,29.0,904.0,21:33:14
26,1,2015-07-27 18:31:56,2015-07-27 18:35:36,1.71805555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,29.9,0.0,0.0,0.0,20.0,2240.0,30.0,2830.0,48.0,4126.0,18:31:56
29,1,2015-07-28 09:31:40,2015-07-28 09:32:27,7.07611111111111,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,832.0,09:31:40
30,1,2015-07-28 16:31:37,2015-07-28 16:32:05,0.493888888888889,0.0,True,False,STILL,True,False,True,False,OFF,good,work,Clear,29.6,5.0,0.0,0.0,6.0,284.0,14.0,904.0,21.0,1166.0,16:31:37
31,1,2015-07-28 18:32:01,2015-07-28 18:37:03,2.0,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,31.0,1.0,0.0,0.0,29.0,2939.0,33.0,3103.0,44.0,3757.0,18:32:01
32,1,2015-07-28 21:31:25,2015-07-28 22:01:42,0.103611111111111,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Partly Cloudy,30.6,2.5,0.0,0.0,7.0,207.0,23.0,1228.0,82.0,6300.0,21:31:25
35,1,2015-07-29 16:31:31,2015-07-29 16:31:46,0.489444444444444,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,30.6,2.0,35.0,0.0,19.0,1899.0,30.0,2894.0,33.0,3142.0,16:31:31
36,1,2015-07-29 18:33:15,2015-07-29 18:33:26,0.340833333333333,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Mostly Cloudy,31.8,6.9,58.0,0.0,0.0,0.0,3.0,168.0,10.0,633.0,18:33:15
37,1,2015-07-29 21:31:39,2015-07-29 21:32:00,0.0169444444444444,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Overcast,28.8,4.7,15.0,0.0,5.0,146.0,18.0,908.0,65.0,2982.0,21:31:39
40,1,2015-07-30 16:32:07,2015-07-30 16:33:09,0.376305555568801,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,26.8,5.0,0.0,0.0,1.0,24.0,3.0,114.0,34.0,2968.0,16:32:07
41,1,2015-07-30 18:31:45,2015-07-30 18:36:01,0.0408333333333333,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,28.0,4.0,0.0,0.0,2.0,176.0,6.0,432.0,19.0,1195.0,18:31:45
42,1,2015-07-30 21:31:04,2015-07-30 21:40:43,0.0686111111111111,0.0,False,True,STILL,False,True,True,False,OFF,bad,"bar,restaurant,food,point_of_interest,establishment",Clear,30.6,6.8,0.0,0.0,0.0,0.0,0.0,0.0,6.0,215.0,21:31:04
43,1,2015-07-30 23:31:59,2015-07-31 00:02:58,1.85444444444444,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,28.4,3.7,0.0,0.0,0.0,0.0,4.0,125.0,15.0,618.0,23:31:59
44,1,2015-07-31 10:31:46,2015-07-31 10:32:06,0.0019444444444444,0.0,True,False,STILL,True,False,True,False,com.google.android.apps.messaging,good,home,Clear,16.3,1.1,0.0,0.0,1.0,62.0,16.0,848.0,36.0,1882.0,10:31:46
46,1,2015-07-31 18:33:26,2015-07-31 19:03:27,1.28194444444444,0.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Mostly Cloudy,28.3,1.7,15.0,0.0,23.0,1261.0,44.0,2676.0,104.0,7397.0,18:33:26
48,1,2015-07-31 23:31:57,2015-08-01 00:02:08,0.2325,0.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Clear,27.7,6.8,15.0,0.0,30.0,3066.0,45.0,4314.0,64.0,5165.0,23:31:57
49,1,2015-08-01 10:33:18,2015-08-01 10:35:04,8.815,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Clear,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38.0,10:33:18
50,1,2015-08-01 16:31:46,Unknown,0.105277777777778,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,home,Clear,28.5,4.2,0.0,0.0,4.0,183.0,4.0,183.0,22.0,1064.0,16:31:46
52,1,2015-08-01 21:31:56,2015-08-01 22:02:24,4.91972222222222,0.0,True,False,STILL,True,True,True,False,OFF,no_response,"store,point_of_interest,establishment",Clear,28.1,3.8,15.0,0.0,14.0,532.0,31.0,1204.0,38.0,1591.0,21:31:56
53,1,2015-08-01 23:31:54,Unknown,6.91916666666667,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,"store,general_contractor,point_of_interest,establishment",Clear,27.0,2.0,0.0,0.0,3.0,238.0,3.0,238.0,8.0,471.0,23:31:54
54,1,2015-08-02 10:31:49,2015-08-02 10:35:29,6.72194444444444,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Clear,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:31:49
55,1,2015-08-02 16:31:31,2015-08-02 17:01:41,2.8175,0.0,False,True,STILL,False,False,True,False,OFF,no_response,home,Clear,31.5,2.7,15.0,0.0,22.0,1366.0,36.0,2020.0,55.0,2819.0,16:31:31
58,1,2015-08-02 23:31:33,Unknown,0.195,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,home,Clear,30.2,5.3,15.0,0.0,7.0,279.0,17.0,831.0,21.0,958.0,23:31:33
59,1,2015-08-03 10:31:51,2015-08-03 10:36:10,0.275,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Overcast,16.7,1.7,0.0,0.0,15.0,611.0,18.0,709.0,42.0,2034.0,10:31:51
60,1,2015-08-03 16:31:30,2015-08-03 16:45:12,0.988055555555556,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,23.2,0.7,0.0,0.0,0.0,0.0,2.0,37.0,9.0,361.0,16:31:30
61,1,2015-08-03 18:31:03,Unknown,0.0005555555555555,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,work,Clear,26.3,6.0,0.0,0.0,0.0,0.0,20.0,1593.0,45.0,2832.0,18:31:03
62,1,2015-08-03 21:31:30,2015-08-03 21:31:45,0.0041666666666666,0.0,True,False,STILL,True,True,True,False,OFF,good,home,Clear,27.2,5.8,0.0,0.0,13.0,845.0,23.0,1192.0,38.0,2416.0,21:31:30
63,1,2015-08-03 23:31:42,2015-08-04 00:01:51,1.01222222222222,0.0,True,False,STILL,True,False,True,False,OFF,no_response,"bar,restaurant,food,point_of_interest,establishment",Clear,26.2,6.8,0.0,0.0,9.0,857.0,23.0,1812.0,32.0,2260.0,23:31:42
64,1,2015-08-04 10:31:39,2015-08-04 10:32:03,0.0155555555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Partly Cloudy,11.3,0.0,0.0,0.0,15.0,456.0,21.0,624.0,40.0,1652.0,10:31:39
71,1,2015-08-05 18:32:19,2015-08-05 19:02:44,7.79611111111111,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Clear,29.2,4.7,0.0,0.0,7.0,565.0,12.0,779.0,30.0,1745.0,18:32:19
75,1,2015-08-06 16:32:13,2015-08-06 16:32:52,0.0016666666666666,0.0,True,False,STILL,True,True,True,False,OFF,good,work,Clear,22.6,4.0,0.0,0.0,4.0,135.0,14.0,582.0,40.0,3423.0,16:32:13
77,1,2015-08-06 21:31:30,2015-08-06 21:41:02,0.700555555555556,0.0,False,True,STILL,False,True,True,False,OFF,bad,home,Partly Cloudy,26.0,0.0,0.0,0.0,2.0,40.0,7.0,430.0,22.0,1510.0,21:31:30
78,1,2015-08-06 23:31:49,2015-08-06 23:32:10,0.0652777777777778,0.0,False,True,STILL,False,True,True,False,OFF,good,"home_goods_store,store,point_of_interest,establishment",Partly Cloudy,21.9,0.0,0.0,0.0,9.0,392.0,9.0,392.0,31.0,1944.0,23:31:49
79,1,2015-08-07 10:33:05,2015-08-07 10:59:56,0.2325,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Partly Cloudy,9.6,0.0,0.0,0.0,11.0,498.0,19.0,770.0,32.0,1482.0,10:33:05
80,1,2015-08-07 16:31:41,2015-08-07 16:46:01,1.09611111111111,0.0,True,False,STILL,True,False,True,False,OFF,bad,work,Clear,23.1,3.0,0.0,0.0,9.0,470.0,15.0,706.0,23.0,1206.0,16:31:41
81,1,2015-08-07 18:32:07,2015-08-07 18:55:23,0.425833333333333,0.0,True,False,STILL,True,False,True,False,OFF,bad,work,Partly Cloudy,24.9,3.0,0.0,0.0,3.0,147.0,9.0,554.0,22.0,1065.0,18:32:07
82,1,2015-08-07 21:32:18,2015-08-07 21:33:35,0.0072222222222222,0.0,False,True,STILL,False,True,True,True,com.facebook.katana,bad,home,Mostly Cloudy,26.7,2.7,0.0,0.0,3.0,66.0,3.0,66.0,8.0,225.0,21:32:18
83,1,2015-08-07 23:31:50,2015-08-08 00:01:59,0.144444444444444,0.0,True,False,STILL,True,True,True,False,OFF,no_response,"bar,restaurant,food,point_of_interest,establishment",Overcast,22.5,0.0,0.0,0.0,9.0,334.0,18.0,1005.0,26.0,1433.0,23:31:50
85,1,2015-08-08 16:31:09,2015-08-08 17:01:16,0.197222222222222,0.0,True,False,STILL,True,True,True,False,OFF,no_response,home,Overcast,24.8,2.2,15.0,0.0,21.0,926.0,44.0,2220.0,87.0,4567.0,16:31:09
86,1,2015-08-08 18:31:27,Unknown,0.065,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,home,Overcast,24.1,2.7,15.0,0.0,12.0,700.0,29.0,1652.0,56.0,3146.0,18:31:27
87,1,2015-08-08 21:32:12,2015-08-08 21:48:15,0.478888888888889,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Overcast,26.0,3.2,0.0,0.0,16.0,603.0,39.0,1947.0,61.0,3055.0,21:32:12
89,1,2015-08-09 10:31:52,2015-08-09 10:48:00,8.88916666666667,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Overcast,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:31:52
91,1,2015-08-09 18:32:24,2015-08-09 19:02:27,5.49527777777778,0.0,False,True,STILL,False,True,True,True,OFF,no_response,"bar,restaurant,food,point_of_interest,establishment",Overcast,28.6,4.7,0.0,0.0,1.0,46.0,7.0,240.0,53.0,2483.0,18:32:24
92,1,2015-08-09 21:31:32,2015-08-09 22:01:34,8.48083333333333,0.0,True,False,STILL,True,False,True,False,OFF,no_response,home,Partly Cloudy,26.8,2.2,0.0,0.0,19.0,997.0,37.0,1957.0,63.0,2956.0,21:31:32
94,1,2015-08-10 10:32:11,2015-08-10 11:01:31,0.0363888888888889,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Overcast,19.8,0.0,0.0,0.0,6.0,315.0,23.0,898.0,33.0,1476.0,10:32:11
95,1,2015-08-10 16:32:31,2015-08-10 16:48:00,1.86333333333333,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Overcast,25.4,0.0,60.0,0.0,12.0,604.0,12.0,604.0,12.0,604.0,16:32:31
99,1,2015-08-11 10:31:49,2015-08-11 10:32:20,0.0258333333333333,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Overcast,17.5,2.7,0.0,0.0,10.0,364.0,16.0,559.0,31.0,1380.0,10:31:49
101,1,2015-08-11 18:31:45,2015-08-11 18:32:03,0.653888888888889,0.0,True,False,STILL,True,False,True,False,OFF,bad,work,Partly Cloudy,24.9,4.0,15.0,0.0,0.0,0.0,5.0,338.0,20.0,1352.0,18:31:45
104,1,2015-08-12 10:31:23,2015-08-12 10:33:41,0.045,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Clear,12.9,2.7,0.0,0.0,20.0,695.0,24.0,937.0,35.0,1621.0,10:31:23
105,1,2015-08-12 16:32:06,2015-08-12 16:47:27,0.981111111111111,0.0,False,True,STILL,False,True,True,True,OFF,good,work,Partly Cloudy,21.0,4.9,0.0,0.0,8.0,398.0,13.0,597.0,42.0,3497.0,16:32:06
189,1,2015-08-29 10:31:33,2015-08-29 10:32:14,2.84666666666667,0.0,True,False,STILL,True,False,True,False,OFF,bad,home,Partly Cloudy,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10:31:33
192,1,2015-08-29 21:31:51,2015-08-29 22:02:17,5.25388888888889,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Overcast,23.6,0.0,53.0,0.0,5.0,244.0,7.0,301.0,17.0,554.0,21:31:51
193,1,2015-08-29 23:31:30,2015-08-30 00:01:36,7.24805555555556,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Overcast,21.7,2.2,38.0,0.0,6.0,171.0,15.0,382.0,38.0,1124.0,23:31:30
201,1,2015-08-31 18:31:51,2015-08-31 18:43:04,0.114166666666667,0.0,True,False,STILL,True,False,True,False,OFF,bad,work,Mostly Cloudy,27.6,2.9,0.0,0.0,1.0,16.0,9.0,369.0,11.0,464.0,18:31:51
203,1,2015-08-31 23:31:57,2015-08-31 23:32:41,0.935555555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,"bar,restaurant,food,point_of_interest,establishment",Clear,27.5,0.0,0.0,0.0,1.0,57.0,5.0,180.0,5.0,180.0,23:31:57
205,1,2015-09-01 16:32:47,2015-09-01 16:41:06,0.690555555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,"university,point_of_interest,establishment",Clear,29.2,0.0,0.0,0.0,9.0,564.0,19.0,942.0,32.0,1572.0,16:32:47
206,1,2015-09-01 18:32:02,Unknown,0.393611111111111,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,"university,point_of_interest,establishment",Mostly Cloudy,29.8,0.0,0.0,0.0,5.0,188.0,9.0,281.0,23.0,905.0,18:32:02
208,1,2015-09-01 23:31:51,2015-09-02 00:02:10,1.29027777777778,0.0,False,True,STILL,False,True,True,False,OFF,no_response,"bar,point_of_interest,establishment",Clear,25.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,253.0,23:31:51
211,1,2015-09-02 18:31:49,2015-09-02 18:46:56,1.44611111111111,0.0,False,True,STILL,False,False,True,False,OFF,good,work,Clear,30.1,3.0,15.0,0.0,1.0,43.0,13.0,871.0,28.0,1697.0,18:31:49
212,1,2015-09-02 21:32:49,2015-09-02 22:02:51,0.695277777777778,0.0,False,True,STILL,False,True,True,False,OFF,no_response,home,Partly Cloudy,32.4,3.7,15.0,0.0,0.0,0.0,8.0,317.0,30.0,1228.0,21:32:49
213,1,2015-09-02 23:31:56,2015-09-03 00:02:01,2.68055555555556,0.0,True,False,STILL,True,True,True,False,OFF,no_response,"cafe,food,point_of_interest,establishment",Clear,28.9,0.0,15.0,0.0,3.0,108.0,7.0,199.0,11.0,289.0,23:31:56
214,1,2015-09-03 10:31:40,2015-09-03 10:32:12,0.0486111111111111,0.0,True,False,STILL,True,False,True,False,com.um.heartsteps,good,home,Clear,18.7,0.0,14.0,0.0,12.0,807.0,32.0,1836.0,46.0,2636.0,10:31:40
215,1,2015-09-03 16:32:43,2015-09-03 16:34:46,0.361666666666667,0.0,False,True,STILL,False,True,True,False,OFF,good,work,Clear,30.3,5.0,35.0,0.0,9.0,397.0,15.0,537.0,29.0,1506.0,16:32:43
218,1,2015-09-03 23:31:42,Unknown,1.26166666666667,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,"store,meal_takeaway,restaurant,food,point_of_interest,establishment",Thunderstorm,21.6,2.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,220.0,23:31:42
219,1,2015-09-04 10:31:45,2015-09-04 10:31:59,0.0027777777777777,0.0,True,False,STILL,True,False,True,False,OFF,good,home,Mostly Cloudy,17.7,0.0,1.0,0.0,16.0,838.0,18.0,882.0,32.0,1591.0,10:31:45
221,1,2015-09-04 18:31:06,2015-09-04 18:31:22,0.0183333333333333,0.0,True,False,STILL,True,False,True,False,com.um.heartsteps,good,"clothing_store,store,point_of_interest,establishment",Mostly Cloudy,26.3,0.0,15.0,0.0,4.0,168.0,4.0,168.0,6.0,213.0,18:31:06
222,1,2015-09-04 21:31:33,Unknown,0.328333333333333,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,"home_goods_store,store,point_of_interest,establishment",Partly Cloudy,27.8,0.0,15.0,0.0,5.0,136.0,11.0,396.0,33.0,1303.0,21:31:33
226,1,2015-09-05 18:31:32,Unknown,0.0547222222222222,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,home,Overcast,22.9,2.7,36.0,0.0,15.0,821.0,24.0,1172.0,30.0,1330.0,18:31:32
228,1,2015-09-05 23:31:06,2015-09-05 23:31:20,0.0480555555555556,0.0,False,True,STILL,False,True,True,False,OFF,good,"cafe,food,point_of_interest,establishment",Clear,26.5,0.0,0.0,0.0,4.0,152.0,4.0,152.0,10.0,429.0,23:31:06
231,1,2015-09-06 18:31:52,2015-09-06 19:01:54,0.196111111111111,1.0,False,True,STILL,False,False,True,False,OFF,no_response,home,Clear,31.7,1.3,0.0,0.0,0.0,0.0,2.0,104.0,19.0,1036.0,18:31:52
232,1,2015-09-06 21:31:03,2015-09-06 21:34:39,0.156666666666667,1.0,True,False,STILL,True,False,True,False,OFF,good,home,Clear,32.8,0.0,1.0,0.0,2.0,53.0,14.0,361.0,26.0,692.0,21:31:03
235,1,2015-09-07 16:33:35,Unknown,0.0038888888888888,-1.0,True,False,STILL,True,True,True,False,com.um.heartsteps,No Response,home,Clear,31.6,2.5,15.0,0.0,21.0,1115.0,24.0,1184.0,30.0,1367.0,16:33:35
236,1,2015-09-07 18:31:11,Unknown,0.0705555555555556,-1.0,False,True,STILL,False,True,True,True,OFF,No Response,home,Clear,32.1,8.3,15.0,0.0,15.0,577.0,16.0,589.0,25.0,944.0,18:31:11
238,1,2015-09-07 23:33:36,Unknown,3.89944444444444,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,"pet_store,store,point_of_interest,establishment",Partly Cloudy,25.4,0.0,35.0,0.0,0.0,0.0,1.0,35.0,6.0,228.0,23:33:36
242,1,2015-09-08 21:31:42,Unknown,0.334722222222222,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,home,Partly Cloudy,27.9,2.2,15.0,0.0,4.0,159.0,8.0,301.0,29.0,1035.0,21:31:42
243,1,2015-09-08 23:31:41,Unknown,0.0333333333333333,-1.0,True,False,STILL,True,True,True,True,com.um.heartsteps,No Response,"furniture_store,hardware_store,general_contractor,home_goods_store,store,storage,point_of_interest,establishment",Partly Cloudy,28.5,1.0,15.0,0.0,5.0,205.0,5.0,205.0,29.0,1767.0,23:31:41
244,1,2015-09-09 10:31:53,2015-09-09 10:32:40,0.0191666666666667,0.0,False,True,STILL,False,True,True,False,com.um.heartsteps,bad,home,Overcast,19.8,4.7,15.0,0.0,6.0,298.0,12.0,500.0,24.0,1139.0,10:31:53
245,1,2015-09-09 16:31:38,2015-09-09 17:01:41,3.00861111111111,0.0,False,True,STILL,False,True,True,False,OFF,no_response,work,Mostly Cloudy,22.6,3.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,267.0,16:31:38
246,1,2015-09-09 18:31:31,Unknown,0.0011111111111111,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,work,Mostly Cloudy,24.2,2.0,15.0,0.0,2.0,82.0,7.0,255.0,18.0,1074.0,18:31:31
247,1,2015-09-09 21:31:40,2015-09-09 21:31:56,0.0827777777777778,0.0,False,True,STILL,False,True,True,False,OFF,good,home,Partly Cloudy,23.6,5.8,0.0,0.0,3.0,72.0,3.0,72.0,11.0,369.0,21:31:40
249,1,2015-09-10 10:33:08,2015-09-10 10:33:57,7.46972222222222,1.0,True,False,STILL,True,False,True,False,com.um.heartsteps,bad,home,Clear,9.1,0.0,0.0,0.0,0.0,0.0,14.0,669.0,54.0,3317.0,10:33:08
250,1,2015-09-10 16:31:23,Unknown,0.136388888888889,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,"store,hair_care,point_of_interest,establishment",Clear,24.4,3.7,0.0,0.0,13.0,842.0,19.0,1087.0,33.0,1696.0,16:31:23
251,1,2015-09-10 18:31:41,Unknown,1.99463888890213,-1.0,True,False,STILL,True,False,True,False,com.um.heartsteps,No Response,"home_goods_store,store,point_of_interest,establishment",Clear,24.2,0.1,0.0,0.0,4.0,97.0,4.0,97.0,15.0,659.0,18:31:41
278,2,2015-07-24 17:01:56,2015-07-24 17:02:20,0.0,0.0,False,True,STILL,False,True,True,False,OFF,good,"university,point_of_interest,establishment",Clear,27.9,1.0,0.0,0.0,0.0,0.0,2.0,73.0,2.0,73.0,17:01:56
281,2,2015-07-25 00:31:26,2015-07-25 01:02:00,0.0,1.0,False,True,STILL,False,True,True,False,OFF,no_response,"electronics_store,store,point_of_interest,establishment",Clear,26.6,0.0,0.0,0.0,1.0,23.0,4.0,164.0,18.0,674.0,00:31:26
287,2,2015-07-26 12:31:31,Unknown,0.0,-1.0,True,False,STILL,True,True,True,False,OFF,No Response,"university,point_of_interest,establishment",Clear,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12:31:31
288,2,2015-07-26 17:03:34,2015-07-26 17:06:03,0.0,0.0,False,True,STILL,False,True,True,False,OFF,good,"electronics_store,store,point_of_interest,establishment",Clear,28.3,0.0,0.0,0.0,13.0,704.0,36.0,1553.0,63.0,3071.0,17:03:34
289,2,2015-07-26 19:01:36,2015-07-26 19:31:39,0.0,0.0,False,True,STILL,False,True,True,True,OFF,no_response,"pharmacy,store,health,point_of_interest,establishment",Clear,29.9,2.0,0.0,0.0,16.0,769.0,24.0,1094.0,28.0,1282.0,19:01:36
292,2,2015-07-27 12:31:31,2015-07-27 13:02:59,0.0,0.0,True,False,STILL,True,False,True,False,OFF,no_response,"university,point_of_interest,establishment",Clear,21.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1580.0,12:31:31
294,2,2015-07-27 19:01:59,2015-07-27 19:32:09,0.0,1.0,False,True,STILL,False,True,True,False,OFF,no_response,"university,point_of_interest,establishment",Clear,30.0,0.7,0.0,0.0,12.0,500.0,12.0,500.0,32.0,2200.0,19:01:59
296,2,2015-07-28 00:31:43,2015-07-28 01:01:07,0.0,0.0,True,False,STILL,True,False,True,False,OFF,good,"university,point_of_interest,establishment",Clear,27.3,0.0,0.0,0.0,1.0,21.0,30.0,2919.0,62.0,5269.0,00:31:43
297,2,2015-07-28 12:30:55,Unknown,0.0,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,"university,point_of_interest,establishment",Clear,19.8,0.0,0.0,0.0,2.0,74.0,3.0,92.0,23.0,1745.0,12:30:55
299,2,2015-07-28 19:03:48,Unknown,0.0,-1.0,False,True,STILL,False,True,True,False,OFF,No Response,"university,point_of_interest,establishment",Clear,31.0,1.0,0.0,0.0,2.0,49.0,18.0,1514.0,23.0,1843.0,19:03:48
303,2,2015-07-29 17:02:09,Unknown,0.0,-1.0,False,True,STILL,False,True,True,False,com.android.chrome,No Response,"university,point_of_interest,establishment",Clear,30.6,2.0,35.0,0.0,9.0,735.0,18.0,1452.0,38.0,3094.0,17:02:09
304,2,2015-07-29 19:01:30,Unknown,0.0,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,"university,point_of_interest,establishment",Mostly Cloudy,29.9,4.0,47.0,0.0,0.0,0.0,5.0,250.0,5.0,250.0,19:01:30
306,2,2015-07-30 00:31:31,Unknown,0.0,-1.0,True,False,STILL,True,False,True,False,OFF,No Response,"store,point_of_interest,establishment",Partly Cloudy,26.1,0.0,15.0,0.0,1.0,32.0,10.0,355.0,15.0,563.0,00:31:31
